Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
17/12/2017 15:00,19255.57,19333.08,18965,19234.56,596.57,11422817.65,19147.47
17/12/2017 16:00,19246.05,19250,18876.22,18975.31,760.46,14457316.89,19011.4
17/12/2017 17:00,19024.9,19141.53,18900,19061.91,423.08,8064896.03,19062.41
17/12/2017 18:00,19050,19115.04,18660,18681.19,427.5,8091172.56,18926.5
17/12/2017 19:00,18681.19,18997.69,18465,18825,1046.64,19581919.07,18709.29
17/12/2017 20:00,18830,19175,18816.35,18969.99,543.05,10339728.11,19040.02
17/12/2017 21:00,18969.99,19037.3,18782.31,18851.63,284.46,5378551.13,18907.94
17/12/2017 22:00,18851.63,19300,18800,19201.52,568.82,10864358.75,19099.98
17/12/2017 23:00,19208.06,19310.67,18688.87,18953,882.25,16696922.82,18925.38
18/12/2017 00:00,18953,18953,18001,18001,1100.81,20257050.17,18401.96
18/12/2017 01:00,18001,18440,17835.2,18388.71,1320.52,23873341.17,18078.77
18/12/2017 02:00,18389.37,18971.22,18044,18258.66,1330.11,24671541.56,18548.45
18/12/2017 03:00,18258.89,18614.49,18190.45,18586.87,473.46,8737654.09,18455.05
18/12/2017 04:00,18586.87,18877.88,18517.59,18746.89,351.58,6584506.35,18728.5
18/12/2017 05:00,18746.89,18887,18600,18886.99,340.9,6400928.09,18776.68
18/12/2017 06:00,18887,18970.61,18794.06,18955.83,289.36,5467564.86,18895.61
18/12/2017 07:00,18955.83,18959.89,18592.93,18673.25,331.79,6231598.88,18781.67
18/12/2017 08:00,18673.25,18999.05,18659.23,18988.73,438.61,8252920.29,18816.25
18/12/2017 09:00,18988.72,18988.75,18690,18808.22,378.78,7120615.25,18798.91
18/12/2017 10:00,18808.99,18935,18775.02,18909.12,341.26,6443182.42,18880.46
18/12/2017 11:00,18909.12,19164.99,18874.81,19103.98,820.75,15619155.91,19030.29
18/12/2017 12:00,19119.99,19220,18970.61,18999.9,378.94,7237547.51,19099.37
18/12/2017 13:00,18999.9,19020,18782.31,18832.04,586.86,11096361.24,18907.94
18/12/2017 14:00,18815.01,18830.92,18319.73,18689.37,1093.95,20307265.11,18563.16
18/12/2017 15:00,18698.36,18946.5,18600,18835.41,544.21,10221214.38,18781.58
18/12/2017 16:00,18845.41,18945.23,18567.74,18625.58,690.87,12929136.08,18714.4
18/12/2017 17:00,18611.94,18640,18482.65,18600,702.43,13038523.93,18562.12
18/12/2017 18:00,18609.5,18609.59,18319.72,18547.81,596.04,10983776.38,18427.93
18/12/2017 19:00,18534.73,18782.31,18490,18760,690.81,12897763.68,18670.61
18/12/2017 20:00,18744.97,18780.43,18503.37,18724.98,564.18,10520597.62,18647.61
18/12/2017 21:00,18746.93,18750,18648.86,18700,356.11,6663909.42,18712.91
18/12/2017 22:00,18700,18750,18601.25,18741,462.47,8642056.16,18686.86
18/12/2017 23:00,18741,18970.61,18737.5,18940.57,494.15,9335328.84,18891.56
19/12/2017 00:00,18940.58,19052.92,18703,18841.65,434.01,8210322.71,18917.46
19/12/2017 01:00,18841.65,19001.25,18710.06,18786.14,445.85,8417112.14,18878.9
19/12/2017 02:00,18786.14,18895.63,18700.1,18850.51,278.26,5230791.2,18798.52
19/12/2017 03:00,18835,19160.79,18714.06,19044.18,528.16,10013468.55,18959.2
19/12/2017 04:00,19044.07,19081.09,18876.92,18954.92,387.98,7363992.35,18980.12
19/12/2017 05:00,18961.53,18998,18812,18865,356.45,6731980.31,18886.2
19/12/2017 06:00,18871,18897.99,18700,18719,268.66,5049201.45,18794.32
19/12/2017 07:00,18719,18925.99,18709.59,18846.28,377.19,7104889.68,18836.59
19/12/2017 08:00,18846.38,18920,18792.25,18840,283.67,5354704.8,18876.85
19/12/2017 09:00,18855.62,18877.19,18465,18600,595.87,11115555.02,18654.29
19/12/2017 10:00,18600,18605,18011.07,18163.03,1682.23,30725482.27,18264.69
19/12/2017 11:00,18139.86,18345.29,17500,17759.44,2625.33,47156632.27,17962.16
19/12/2017 12:00,17759.33,18211.52,17706.96,18027.23,954.76,17218431.8,18034.33
19/12/2017 13:00,18068.41,18302.68,18006.31,18101.92,916.92,16675302.63,18186.29
19/12/2017 14:00,18101.92,18136.06,17800,17961,1076.68,19312716.93,17937.36
19/12/2017 15:00,17961,18085.61,17861.51,18062.2,790.89,14228064.59,17989.94
19/12/2017 16:00,18059,18436.5,17984.51,18409.66,605.95,11039202.46,18217.95
19/12/2017 17:00,18400,18444,18215,18215.1,471.79,8646773.55,18327.61
19/12/2017 18:00,18219.95,18350,18030.54,18179.96,648.43,11822418.66,18232.45
19/12/2017 19:00,18179.98,18222.32,17825.67,17900.49,942.75,16964199.83,17994.38
19/12/2017 20:00,17904.15,18060,17579,17750.56,1006.97,17898195.57,17774.35
19/12/2017 21:00,17753.77,17762.43,16831.26,17059.08,3365.62,57682475.28,17138.73
19/12/2017 22:00,17099.89,17510,17043.62,17279.79,1330.76,23030423.16,17306.25
19/12/2017 23:00,17280,17760,17161.81,17700,1152.98,20213905.16,17531.8
20/12/2017 00:00,17700,17700.29,15800,16939.43,3158.42,52431924.04,16600.67
20/12/2017 01:00,16939.43,16981.79,16009.85,16458.34,2294.04,37668391.25,16420.11
20/12/2017 02:00,16474.99,17195.13,16387.06,17195.13,1708.77,28839370.89,16877.28
20/12/2017 03:00,17195.13,17238.12,16830.26,16830.28,924.69,15784800.57,17070.45
20/12/2017 04:00,16865.38,17109.48,16650,16973.82,960.49,16235446.81,16903.37
20/12/2017 05:00,16954.52,17037.57,16500,16522.27,720.16,12044882.89,16725.28
20/12/2017 06:00,16522.27,16609.58,16034.03,16464.9,1395.62,22705815.56,16269.36
20/12/2017 07:00,16400,16855.06,16235.46,16521.85,923.27,15324504.54,16598.14
20/12/2017 08:00,16521.95,17501.66,16443.76,17180.45,1055.65,17931354.58,16986.09
20/12/2017 09:00,17180.45,17180.46,16872.39,17066.81,718.05,12200615.61,16991.25
20/12/2017 10:00,17050.01,17631.34,17050,17421.35,1257.21,21899718.09,17419.25
20/12/2017 11:00,17429,17600,17266.78,17532.19,600.07,10448217.84,17411.62
20/12/2017 12:00,17532.19,17950,17506.01,17857.46,740.15,13117355.33,17722.52
20/12/2017 13:00,17850.01,17895,17152.25,17300.51,1387.62,24270718.7,17490.93
20/12/2017 14:00,17330,17731.04,17236,17299.98,1468.77,25604090.31,17432.38
20/12/2017 15:00,17288,17299.98,16500.99,16588.37,1450.12,24486510.04,16885.8
20/12/2017 16:00,16588.36,16607.89,16114.3,16452,2120.98,34738130.86,16378.32
20/12/2017 17:00,16498.74,16993.55,16424.9,16929.06,1317.39,22066759.56,16750.38
20/12/2017 18:00,16931.32,16964.55,16521.89,16870.93,949.32,15892665.83,16741.15
